Format Version,1.24,Take Name,VectorSurgeTrials_013SNAP,Take Notes,,Capture Frame Rate,60,Export Frame Rate,60,Capture Start Time,2024-09-10 04.04.56.425 PM,Capture Start Frame,33991,Total Frames in Take,9894,Total Exported Frames,9894,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,
,Name,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,,,,,,,,,,
,ID,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,,,,,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,
69,1.15,0.463668,0.029092,0.444066,3233.255371,-4.32314,1127.561401,10.532284,-7.037801,42.775421,-2577.189209,-2874.866455,33.287334,,,,,,,,,,
70,1.166667,0.462844,0.005148,0.457929,3233.223877,-4.307653,1127.582153,10.588713,-7.04422,42.826302,-2577.207031,-2874.806396,33.312542,,,,,,,,,,
71,1.183333,0.467483,-0.001448,0.46089,3233.227295,-4.319432,1127.572754,10.661984,-7.128018,42.777023,-2577.235596,-2874.893066,33.227146,,,,,,,,,,
72,1.2,0.465557,0.001236,0.439197,3233.236816,-4.314485,1127.573853,10.673476,-7.193554,42.761784,-2577.198975,-2874.871582,33.282269,,,,,,,,,,
73,1.216667,0.443529,-0.00338,0.434602,3233.260742,-4.298269,1127.554688,10.570637,-6.95818,42.86179,-2577.19165,-2874.868408,33.281834,,,,,,,,,,
74,1.233333,0.433852,0.01587,0.402897,3233.27124,-4.302817,1127.554688,10.517706,-6.940219,42.899288,-2577.191895,-2874.850098,33.304543,,,,,,,,,,
75,1.25,0.453487,0.004206,0.392285,3233.257324,-4.300113,1127.563599,10.607166,-7.088583,42.682167,-2577.265625,-2874.966797,33.187801,,,,,,,,,,
76,1.266667,0.454042,-0.016382,0.423896,3233.24707,-4.307542,1127.559692,10.644172,-7.090049,42.829964,-2577.233643,-2874.893066,33.193745,,,,,,,,,,
77,1.283333,0.445844,-0.026887,0.462168,3233.242676,-4.308351,1127.601196,10.631574,-7.073138,42.813438,-2577.220947,-2874.858398,33.241035,,,,,,,,,,
78,1.3,0.439297,-0.018915,0.443327,3233.246338,-4.310623,1127.540894,10.591594,-7.134729,42.812859,-2577.198242,-2874.849121,33.272518,,,,,,,,,,
79,1.316667,0.49537,0.103738,0.409804,3233.100342,-4.227243,1127.555908,10.553261,-7.063307,42.853855,-2577.216309,-2874.917969,33.216393,,,,,,,,,,
